ID,GPFlag,GPDetails
"1","1","מחיר מכירה"
"2","3","מחיר קניה"
"3","11","מחיר מכירה הנחה עם ועמלה מהחשבון"
"4","12"," מחיר מכירה עם הנחה ועמלה מחשבון מרכז"
"5","13","מחיר קניה עם הנחה ועמלה מהחשבון"
"6","14"," מחיר קניה עם הנחה ועמלה מחשבון מרכז"
"7","40","מחירון לסניף - עמדת מכירה"
"8","41","מחירונים מהחשבון"
"9","42","מחירונים מחשבון מרכז"
"10","50","מחיר מיוחד מהחשבון"
"11","51","מחיר מיוחד מחשבון מרכז"
"12","52","מחיר מיוחד ללא חשבון"
"13","53","מחיר מיוחד משוקלל מהחשבון"
"14","54","מחיר מיוחד משוקלל  מחשבון מרכז"
"15","55","מחיר מיוחד משוקלל  ללא חשבון"
"16","60","מחיר מיוחד מהחשבון - שורה לטווח כמויות"
"17","61","מחיר מיוחד מחשבון מרכז - שורה לטווח כמויות"
"18","62","מחיר מיוחד ללא חשבון - שורה לטווח כמויות"

